"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SANKET SUHAS KOLHATKAR","Employees/Designated Employees","Equity Shares","2200","0",,"25","44061","Sell","Equity Shares","2175","0","01-Jun-2020","01-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 17:20","https://archives.nseindia.com/corporate/xbrl/IT_1073764_266454_18062020052053_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SANKET SUHAS KOLHATKAR","Employees/Designated Employees","Equity Shares","2175","0",,"95","170200","Sell","Equity Shares","2080","0","02-Jun-2020","02-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 17:20","https://archives.nseindia.com/corporate/xbrl/IT_1073764_266454_18062020052053_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SANKET SUHAS KOLHATKAR","Employees/Designated Employees","Equity Shares","2080","0",,"30","55000","Sell","Equity Shares","2050","0","03-Jun-2020","03-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 17:20","https://archives.nseindia.com/corporate/xbrl/IT_1073764_266454_18062020052053_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SANKET SUHAS KOLHATKAR","Employees/Designated Employees","Equity Shares","2050","0",,"40","72200","Sell","Equity Shares","2010","0","08-Jun-2020","08-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 17:20","https://archives.nseindia.com/corporate/xbrl/IT_1073764_266454_18062020052053_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SANKET SUHAS KOLHATKAR","Employees/Designated Employees","Equity Shares","2010","0",,"20","36400","Sell","Equity Shares","1990","0","09-Jun-2020","09-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 17:20","https://archives.nseindia.com/corporate/xbrl/IT_1073764_266454_18062020052053_WEB.xml"
"BIOCON","Biocon Limited","7(2)","Vivek Gupta","Employees/Designated Employees","Equity Shares","106000","0",,"4000","1570120","Sell","Equity Shares","102000","0","15-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:41","https://archives.nseindia.com/corporate/xbrl/IT_1073760_266409_18062020044153_WEB.xml"
"BIOCON","Biocon Limited","7(2)","Vasan Kirthika Sambandamurthy","Employees/Designated Employees","Equity Shares","27000","0",,"7000","2710693","Sell","Equity Shares","20000","0","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:41","https://archives.nseindia.com/corporate/xbrl/IT_1073760_266409_18062020044153_WEB.xml"
"BIOCON","Biocon Limited","7(2)","Rumman Ahmed","Employees/Designated Employees","Equity Shares","58000","0",,"26200","101067764","Sell","Equity Shares","31800","0","28-May-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:41","https://archives.nseindia.com/corporate/xbrl/IT_1073760_266409_18062020044153_WEB.xml"
"BIOCON","Biocon Limited","7(2)","Nagaraj M","Employees/Designated Employees","Equity Shares","4000","0",,"2000","773400","Sell","Equity Shares","2000","0","15-Jun-2020","15-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:41","https://archives.nseindia.com/corporate/xbrl/IT_1073760_266409_18062020044153_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Amit Dayal","Employees/Designated Employees","Equity Shares","49800","0",,"8000","7854000","Sell","Equity Shares","41800","0","16-Jun-2020","17-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Bhagyesh B Thakar","Employees/Designated Employees","Equity Shares","35850","0",,"5000","4969000","Sell","Equity Shares","30850","0","17-Jun-2020","17-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Sashidhar Jagdishan","Key Managerial Personnel","Equity Shares","1496188","0.03",,"236000","231636501","Sell","Equity Shares","1260188","0.02","17-Jun-2020","17-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Akhilesh Dharmadhikari","Employees/Designated Employees","Equity Shares","56130","0",,"1500","1474776","Sell","Equity Shares","54630","0","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Anand Mankodi","Employees/Designated Employees","Equity Shares","203500","0",,"2000","1985000","Sell","Equity Shares","201500","0","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Augustine Quadros","Employees/Designated Employees","Equity Shares","9590","0",,"9000","8839800","Sell","Equity Shares","590","0","16-Jun-2020","16-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Bhaskar Chandra Panda","Employees/Designated Employees","Equity Shares","160748","0",,"4000","3921500","Sell","Equity Shares","156748","0","16-Jun-2020","16-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073758_266403_18062020043809_WEB.xml"
"LGBBROSLTD","LG Balakrishnan & Bros Limited","7(2)","V.RAJVIRDHAN","Promoters","Equity Shares","3995689","12.73",,"14988","2996896","Sell","Equity Shares","3980701","12.68","16-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:38","https://archives.nseindia.com/corporate/xbrl/IT_1073757_266401_18062020043759_WEB.xml"
"SUPREMEIND","Supreme Industries Limited","7(2)","Jovial Investment and Trading Company Private Limited","Promoter Group","Equity Shares","20108268","15.83",,"370370","401161442","Buy","Equity Shares","20478638","16.12","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","18-Jun-2020 16:22","https://archives.nseindia.com/corporate/xbrl/IT_1073754_266385_18062020042228_WEB.xml"
"SUPREMEIND","Supreme Industries Limited","7(2)","Boon Investment and Trading Company Private Limited U65923MH2010PTC202488","Promoter Group","Equity Shares","20357956","16.03",,"100000","108313719","Buy","Equity Shares","20457956","16.11","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","18-Jun-2020 16:22","https://archives.nseindia.com/corporate/xbrl/IT_1073754_266385_18062020042228_WEB.xml"
"SUPREMEIND","Supreme Industries Limited","7(2)","VENKTESH INVESTMENT AND TRADING COMPANY PRIVATE LIMITED","Promoter Group","Equity Shares","19693081","15.5",,"1651852","1778679699","Sell","Equity Shares","18041229","14.2","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","18-Jun-2020 16:22","https://archives.nseindia.com/corporate/xbrl/IT_1073754_266385_18062020042228_WEB.xml"
"SUPREMEIND","Supreme Industries Limited","7(2)","VIVEKKUMAR VIJAYKUMAR TAPARIA","Promoter Group","Equity Shares","262230","0.21",,"100000","107686281","Sell","Equity Shares","162230","0.13","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","18-Jun-2020 16:22","https://archives.nseindia.com/corporate/xbrl/IT_1073754_266385_18062020042228_WEB.xml"
"SUPREMEIND","Supreme Industries Limited","7(2)","VIJAYKUMAR B TAPARIA","Promoter Group","Equity Shares","344890","0.27",,"100000","107686281","Sell","Equity Shares","244890","0.19","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","18-Jun-2020 16:22","https://archives.nseindia.com/corporate/xbrl/IT_1073754_266385_18062020042228_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","MOHAMMED SHAKIR","Employees/Designated Employees","Equity Shares","2875","0",,"875","1122818","Sell","Equity Shares","2000","0","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:12","https://archives.nseindia.com/corporate/xbrl/IT_1073752_266375_18062020041250_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","VEENA KUMARI TANDON","Immediate relative","Equity Shares","119406","0.15",,"2000","2563843","Sell","Equity Shares","117406","0.11","15-Jun-2020","17-Jun-2020","18-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 16:12","https://archives.nseindia.com/corporate/xbrl/IT_1073752_266375_18062020041250_WEB.xml"
"JSL","Jindal Stainless Limited","7(2)","JSL LIMITED","Promoter Group","Equity Shares","8012940","1.65",,"57500","1935060","Buy","Equity Shares","8070440","1.66","17-Jun-2020","17-Jun-2020","18-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","18-Jun-2020 15:43","https://archives.nseindia.com/corporate/xbrl/IT_1073750_266338_18062020034302_WEB.xml"
"VISAKAIND","Visaka Industries Limited","7(2)","Dr. G Vivekanand","Promoters","Equity Shares","6073730","38.25",,"38250","8977039","Buy","Equity Shares","6111980","38.49","15-Jun-2020","17-Jun-2020","17-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","18-Jun-2020 15:27","https://archives.nseindia.com/corporate/xbrl/IT_1073747_266323_18062020032737_WEB.xml"
"INDUSINDBK","Indusind Bank Limited","7(2)","Indusind International Holdings Ltd","Promoters","Equity Shares","67975939","9.8",,"200000","97155230","Buy","Equity Shares","68175939","9.83","16-Jun-2020","17-Jun-2020","18-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE","-","18-Jun-2020 15:10","https://archives.nseindia.com/corporate/xbrl/IT_1073745_266316_18062020031036_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","MUTTUKUMAR PILLAI","Employees/Designated Employees","Equity Shares","8721","0",,"861","2183436","Sell","Equity Shares","7860","0","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 15:07","https://archives.nseindia.com/corporate/xbrl/IT_1073744_266314_18062020030746_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","PIYUSH SURANA","Employees/Designated Employees","Equity Shares","122622","0.06",,"7122","18148209","Sell","Equity Shares","115500","0.05","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 15:07","https://archives.nseindia.com/corporate/xbrl/IT_1073744_266314_18062020030746_WEB.xml"
"KMSUGAR","K.M.Sugar Mills Limited","7(2)","MARVEL BUSINESS PRIVATE LIMITED","Promoters","Equity Shares","12141040","13.2",,"32995","295185","Buy","Equity Shares","12174035","13.23","16-Jun-2020","17-Jun-2020","18-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","18-Jun-2020 13:54","https://archives.nseindia.com/corporate/xbrl/IT_1073741_266293_18062020015429_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JTPM Metal Traders Private Limited","Promoter Group","Equity Shares","12377700","0.51",,"1200000","231118257","Buy","Equity Shares","13577700","0.56","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Purchase","-","-","0","0","0","0","NA","-","18-Jun-2020 13:51","https://archives.nseindia.com/corporate/xbrl/IT_1073739_266290_18062020015141_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JTPM Metal Traders Private Limited","Promoter Group","Equity Shares","11377700","0.47",,"1000000","183954635","Buy","Equity Shares","12377700","0.51","15-Jun-2020","15-Jun-2020","16-Jun-2020","Market Purchase","-","-","0","0","0","0","NA","-","18-Jun-2020 13:51","https://archives.nseindia.com/corporate/xbrl/IT_1073739_266290_18062020015141_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JTPM Metal Traders Private Limited","Promoter Group","Equity Shares","11377700","0.47",,"4000000","735000000","Pledge","Equity Shares","11377700","0.47","15-Jun-2020","15-Jun-2020","16-Jun-2020","Pledge Creation","-","-","0","0","0","0","NSE","-","18-Jun-2020 13:51","https://archives.nseindia.com/corporate/xbrl/IT_1073739_266290_18062020015141_WEB.xml"
"ADANITRANS","Adani Transmission Limited","7(2)","Shri Gautam S. Adani/Shri Rajesh S. Adani (on behalf of S. B. Adani Family Trust)","Promoter Group","Equity Shares","621197910","56.48",,"1200000","260500000","Pledge Revoke","Equity Shares","621197910","56.48","17-Jun-2020","17-Jun-2020","18-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","18-Jun-2020 13:42","https://archives.nseindia.com/corporate/xbrl/IT_1073737_266286_18062020014208_WEB.xml"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","7(2)","Gautam S. Adani & Rajesh S Adani (On behalf of S. B. Adani Family Trust)","Promoter Group","Equity Shares","799353935","39.34",,"20700000","7064900000","Pledge Revoke","Equity Shares","799353935","39.34","17-Jun-2020","17-Jun-2020","18-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","18-Jun-2020 13:25","https://archives.nseindia.com/corporate/xbrl/IT_1073735_266277_18062020012520_WEB.xml"
"LTTS","L&T Technology Services Limited","7(2)","KESHAB PANDA","Director","Equity Shares","92699","0",,"7851","10398021","Sell","Equity Shares","84848","0","17-Jan-2020","15-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Jun-2020 12:29","https://archives.nseindia.com/corporate/xbrl/IT_1073733_266249_18062020122926_WEB.xml"
"UFLEX","UFLEX Limited","7(2)","ANSHIKA CONSULTANTS PRIVATE LIMITED","Promoter Group","Equity Shares","3778524","5.23",,"200000","36740000","Pledge Revoke","Equity Shares","3778524","5.23","15-Jun-2020","15-Jun-2020","17-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","18-Jun-2020 12:07","https://archives.nseindia.com/corporate/xbrl/IT_1073731_266242_18062020120717_WEB.xml"
"JINDALSTEL","Jindal Steel & Power Limited","7(2)","OPJ TRADING PRIVATE LIMITED","Promoter Group","Equity Shares","188413667","18.47",,"543522","76989891","Pledge Revoke","Equity Shares","188413667","18.47","12-Jun-2020","12-Jun-2020","16-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","18-Jun-2020 11:26","https://archives.nseindia.com/corporate/xbrl/IT_1073729_266232_18062020112601_WEB.xml"
"JINDALSTEL","Jindal Steel & Power Limited","7(2)","Opelina Sustainable Services Limited","Promoter Group","Equity Shares","139300393","13.66",,"640000","90656000","Pledge Revoke","Equity Shares","139300393","13.66","12-Jun-2020","12-Jun-2020","16-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","18-Jun-2020 11:26","https://archives.nseindia.com/corporate/xbrl/IT_1073729_266232_18062020112601_WEB.xml"
"WONDERLA","Wonderla Holidays Limited","7(2)","Kochouseph Chittilappilly","Promoters","Equity Shares","14985928","26.51",,"10900","1453771","Buy","Equity Shares","14996828","26.53","08-Jun-2020","16-Jun-2020","17-Jun-2020","Market Purchase","-","-","0","0","0","0","NSE","-","18-Jun-2020 11:17","https://archives.nseindia.com/corporate/xbrl/IT_1073727_266226_18062020111754_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","ANURADHA SETHURAMAN","Immediate relative","Equity Shares","6666","0",,"3200","598400","Sell","Equity Shares","3466","0","27-May-2020","27-May-2020","28-May-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","S Ramesh","Other","Equity Shares","Nil","0",,"257","80762","Buy","Equity Shares","257","0","11-Jun-2020","11-Jun-2020","15-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","S Ramesh","Other","Equity Shares","3484","0",,"640","979544","Sell","Equity Shares","2844","0","03-Jun-2020","03-Jun-2020","05-Jun-2020","Market Sale","-","-","0","0","0","0","BSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","S Ramasubramonian","Other","Equity Shares","Nil","0",,"350","109988","Buy","Equity Shares","350","0","11-Jun-2020","11-Jun-2020","15-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","S Ramasubramonian","Other","Equity Shares","5928","0",,"650","934700","Sell","Equity Shares","5278","0","04-May-2020","04-May-2020","04-May-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Mohanlal Agarwal","Other","Equity Shares","Nil","0",,"1104","346932","Buy","Equity Shares","1104","0","11-Jun-2020","11-Jun-2020","15-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Mohanlal Agarwal","Other","Equity Shares","14800","0",,"200","305900","Sell","Equity Shares","14600","0","02-Jun-2020","02-Jun-2020","02-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pavan Kumar Jain","Other","Equity Shares","26000","0",,"250","397500","Sell","Equity Shares","25750","0","12-Jun-2020","12-Jun-2020","15-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pavan Kumar Jain","Other","Equity Shares","26500","0",,"500","773000","Sell","Equity Shares","26000","0","08-May-2020","08-May-2020","08-May-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pavan Kumar Jain","Other","Equity Shares","25750","0",,"250","401250","Sell","Equity Shares","25500","0","15-Jun-2020","15-Jun-2020","15-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pavan Kumar Jain","Other","Equity Shares","25500","0",,"250","402500","Sell","Equity Shares","25250","0","15-Jun-2020","15-Jun-2020","15-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Pavan Kumar Jain","Other","Equity Shares","25250","0",,"250","405000","Sell","Equity Shares","25000","0","15-Jun-2020","15-Jun-2020","15-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","ANURADHA SETHURAMAN","Immediate relative","Equity Shares","3466","0",,"1800","342000","Sell","Equity Shares","1666","0","28-May-2020","28-May-2020","28-May-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","A G Dawda","Other","Equity Shares","83498","0",,"300","467400","Sell","Equity Shares","83198","0","04-Jun-2020","04-Jun-2020","05-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Chandra Shekhar Borar","Other","Equity Shares","57212","0",,"1000","1633000","Sell","Equity Shares","56212","0","16-Jun-2020","16-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Mohanlal Agarwal","Other","Equity Shares","15200","0",,"200","290950","Sell","Equity Shares","15000","0","06-May-2020","06-May-2020","06-May-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","Mohanlal Agarwal","Other","Equity Shares","15000","0",,"200","304780","Sell","Equity Shares","14800","0","01-Jun-2020","01-Jun-2020","01-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 22:56","https://archives.nseindia.com/corporate/xbrl/IT_1073725_266203_17062020105648_WEB.xml"
"CRISIL","CRISIL Limited","7(2)","Ankit Bajaj","Employees/Designated Employees","Equity Shares","1764","0",,"1070","1576953","Sell","Equity Shares","694","0","10-Jun-2020","11-Jun-2020","12-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 21:58","https://archives.nseindia.com/corporate/xbrl/IT_1073723_266190_17062020095805_WEB.xml"
"GODREJIND","Godrej Industries Limited","7(2)","Godrej Seeds & Genetics Limited","Promoter Group","Equity Shares","5070353","1.51",,"60164","22475702","Buy","Equity Shares","5130517","1.52","12-Jun-2020","12-Jun-2020","15-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","17-Jun-2020 21:16","https://archives.nseindia.com/corporate/xbrl/IT_1073721_266184_17062020091615_WEB.xml"
"GODREJIND","Godrej Industries Limited","7(2)","Godrej Seeds & Genetics Limited","Promoter Group","Equity Shares","4995258","1.48",,"75095","29103244","Buy","Equity Shares","5070353","1.51","11-Jun-2020","11-Jun-2020","15-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","17-Jun-2020 21:16","https://archives.nseindia.com/corporate/xbrl/IT_1073721_266184_17062020091615_WEB.xml"
"ZEEMEDIA","Zee Media Corporation Limited","7(2)","Arm Infra & Utilities Private Limited","Promoters","Equity Shares","110480327","23.47",,"2200000","14740000","Pledge Invoke","Equity Shares","108280327","23","12-Jun-2020","12-Jun-2020","15-Jun-2020","Invocation of pledge","-","-","0","0","0","0","NA","-","17-Jun-2020 21:01","https://archives.nseindia.com/corporate/xbrl/IT_1073719_266181_17062020090144_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Sanjiv K R","Employees/Designated Employees","Equity Shares","38527","0",,"8000","1678722","Sell","Equity Shares","30527","0","15-Jun-2020","15-Jun-2020","15-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:56","https://archives.nseindia.com/corporate/xbrl/IT_1073717_266178_17062020085622_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","SIDDHARTH BOHRA","Employees/Designated Employees","Equity Shares","68016","0.04",,"1500","2812500","Sell","Equity Shares","66516","0.04","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:03","https://archives.nseindia.com/corporate/xbrl/IT_1073715_266157_17062020080353_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","SARBAJIT DEB","Employees/Designated Employees","Equity Shares","31355","0.02",,"1000","1860000","Sell","Equity Shares","30355","0.02","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:03","https://archives.nseindia.com/corporate/xbrl/IT_1073715_266157_17062020080353_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Mr. Kunal Sinha","Employees/Designated Employees","Equity Shares","840","0",,"100","145000","Sell","Equity Shares","740","0","15-Jun-2020","15-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:03","https://archives.nseindia.com/corporate/xbrl/IT_1073714_266155_17062020080334_WEB.xml"
"METROPOLIS","Metropolis Healthcare Limited","7(2)","Mr. Vijender Singh","Key Managerial Personnel","Equity Shares","39371","0.08",,"3200","4584064","Sell","Equity Shares","36171","0.07","12-Jun-2020","12-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:03","https://archives.nseindia.com/corporate/xbrl/IT_1073714_266155_17062020080334_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","LALIT KUMAR SHUKLA","Employees/Designated Employees","Equity Shares","5924","0.05",,"100","535429","Sell","Equity Shares","5824","0.05","16-Jun-2020","16-Jun-2020","17-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:01","https://archives.nseindia.com/corporate/xbrl/IT_1073713_266147_17062020080102_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","KAILASH CHANDER SHARMA","Employees/Designated Employees","Equity Shares","14430","0.12",,"1500","7677500","Sell","Equity Shares","12930","0.11","15-Jun-2020","15-Jun-2020","16-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Jun-2020 20:01","https://archives.nseindia.com/corporate/xbrl/IT_1073713_266147_17062020080102_WEB.xml"
